City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
64,Baghdad,IQ,80.51,clear sky,33.3406,44.4009,Baghdad Hotel
66,Mayo,US,76.95,clear sky,38.8876,-76.5119,Resorts Resource Group International
70,Kudahuvadhoo,MV,81.99,light rain,2.6708,72.8944,Niyama Private Islands Maldives
71,Butaritari,KI,83.7,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
72,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
82,Phan Thiet,VN,76.93,broken clouds,10.9333,108.1,Hotel Saigon-PT
84,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
86,Marica,BR,78.96,overcast clouds,-22.9194,-42.8186,Marica Hills
87,Nuevo Ideal,MX,73.18,overcast clouds,24.8875,-105.0728,Hotel Las Águilas
90,Vila Franca Do Campo,PT,72.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
94,Liure,HN,87.62,overcast clouds,13.5358,-87.0919,"Barreal Centro, Orocuina Choluteca HN"
95,Cabatuan,PH,75.83,broken clouds,10.8794,122.486,MVC Transient Room
96,Kamina,CD,73.67,overcast clouds,-8.7386,24.9906,Guest House Florvia
97,Peniche,PT,71.08,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
98,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
101,Faanui,PF,79.48,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
104,Dicabisagan,PH,78.96,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
105,Guerrero Negro,MX,75.15,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
107,Victoria,HK,84.33,light rain,22.2855,114.1577,Mini Hotel Central
113,Kapaa,US,79.2,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
120,Kampong Cham,KH,76.17,light rain,11.9934,105.4635,7 Makara Hotel
121,Laguna,US,86.22,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
122,Rosarito,MX,72.25,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
124,Kavieng,PG,81.25,light rain,-2.5744,150.7967,Nusa Island Retreat
125,Mahebourg,MU,71.89,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
126,Hirara,JP,82.96,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
128,Hithadhoo,MV,82.89,overcast clouds,-0.6,73.0833,Scoop Guest House
130,Mmathubudukwane,BW,81.46,clear sky,-24.6,26.4333,Gill Sleepover Guesthouse
135,Mayumba,GA,75.72,broken clouds,-3.432,10.6554,LIKWALE LODGE
136,Vila Velha,BR,79.97,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
141,Zhicheng,CN,71.28,light rain,30.2956,111.5047,Wangjiang Building
143,Mumbwa,ZM,73.53,overcast clouds,-14.9783,27.0619,Mumbwa Motel
145,Socorro,US,81.1,scattered clouds,31.6546,-106.3033,guarderia imss papalote
147,Nishihara,JP,79.88,scattered clouds,26.1842,127.7558,Minshuku Agaihama
154,Jati,PK,83.48,scattered clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
