City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Lompoc,US,34.6391,-120.4579,62.91,87,90,3.44,overcast clouds
111,Straumen,NO,63.8709,11.2999,57.61,86,99,4.32,overcast clouds
112,Adrar,MR,20.5022,-10.0711,100.13,12,38,9.71,scattered clouds
113,Kapaa,US,22.0752,-159.319,79.2,81,20,3.0,light rain
114,Martinho Campos,BR,-19.3317,-45.2369,92.91,22,63,2.44,broken clouds
115,Falkenberg,SE,56.9055,12.4912,59.95,91,100,10.78,overcast clouds
116,Vostok,RU,46.4856,135.8833,44.96,92,26,4.14,scattered clouds
117,Yellowknife,CA,62.456,-114.3525,42.3,92,75,4.0,broken clouds
118,Codrington,AU,-38.2667,141.9667,41.9,83,100,7.78,overcast clouds
119,Chapleau,CA,47.8405,-83.4034,60.89,63,75,10.36,broken clouds
120,Kampong Cham,KH,11.9934,105.4635,76.17,95,100,5.55,light rain
121,Laguna,US,38.421,-121.4238,86.22,58,1,9.22,clear sky
122,Rosarito,MX,32.3333,-117.0333,72.25,70,9,11.12,clear sky
123,Xuanhua,CN,40.6103,115.0447,58.05,93,61,1.79,broken clouds
124,Kavieng,PG,-2.5744,150.7967,81.25,79,100,6.78,light rain
125,Mahebourg,MU,-20.4081,57.7,71.89,88,75,14.97,light rain
126,Hirara,JP,24.8,125.2833,82.96,79,2,12.37,clear sky
127,Dakoro,NE,14.5106,6.765,93.4,15,5,0.92,clear sky
128,Hithadhoo,MV,-0.6,73.0833,82.89,72,100,16.24,overcast clouds
129,Bonavista,CA,48.6499,-53.1147,63.12,79,89,11.01,overcast clouds
130,Mmathubudukwane,BW,-24.6,26.4333,81.46,22,0,5.23,clear sky
131,Derzhavinsk,KZ,51.1,66.3167,50.05,49,100,29.26,overcast clouds
132,Wittlich,DE,49.9833,6.8833,63.86,88,75,3.44,broken clouds
133,Portland,US,45.5234,-122.6762,69.01,62,75,3.0,broken clouds
134,Zaraza,VE,9.3503,-65.3245,91.18,47,99,5.59,overcast clouds
135,Mayumba,GA,-3.432,10.6554,75.72,88,56,5.01,broken clouds
136,Vila Velha,BR,-20.3297,-40.2925,79.97,67,0,20.71,clear sky
137,Dikson,RU,73.5069,80.5464,36.54,85,100,21.61,overcast clouds
138,Malinovoye Ozero,RU,51.6753,79.7825,30.69,75,0,5.66,clear sky
139,Lata,PT,40.1629,-8.3327,66.61,85,100,1.79,overcast clouds
140,Pisco,PE,-13.7,-76.2167,66.25,77,0,10.36,clear sky
141,Zhicheng,CN,30.2956,111.5047,71.28,84,32,1.72,light rain
142,Tiksi,RU,71.6872,128.8694,34.05,96,100,10.74,overcast clouds
143,Mumbwa,ZM,-14.9783,27.0619,73.53,21,95,6.76,overcast clouds
144,Paisley,GB,55.8317,-4.4325,64.26,91,90,1.01,moderate rain
145,Socorro,US,31.6546,-106.3033,81.1,45,40,5.75,scattered clouds
146,Qaanaaq,GL,77.484,-69.3632,20.52,67,20,6.87,few clouds
147,Nishihara,JP,26.1842,127.7558,79.88,95,40,3.44,scattered clouds
148,Linxia,CN,35.6003,103.2064,53.98,75,100,2.98,overcast clouds
149,Saskylakh,RU,71.9167,114.0833,34.09,98,100,9.89,overcast clouds
150,Vardo,NO,70.3705,31.1107,48.4,81,0,16.11,clear sky
151,Teguldet,RU,57.3064,88.1667,33.19,97,42,6.22,scattered clouds
152,Constitucion,CL,-35.3333,-72.4167,59.27,56,62,17.16,broken clouds
153,Saint-Augustin,CA,51.226,-58.6502,57.43,97,100,6.89,overcast clouds
154,Jati,PK,24.3539,68.2671,83.48,74,29,10.71,scattered clouds
155,Grand Gaube,MU,-20.0064,57.6608,72.0,86,13,5.01,light rain
156,La Libertad,EC,-2.2333,-80.9,76.66,69,40,9.22,scattered clouds
157,Valdivia,CL,-39.8142,-73.2459,57.29,42,12,3.6,few clouds
158,Ardahan,TR,41.1087,42.7022,38.39,88,0,1.39,clear sky
159,Mount Gambier,AU,-37.8333,140.7667,40.91,93,81,5.75,broken clouds
160,Amapa,BR,1.0,-52.0,95.5,32,100,4.12,overcast clouds
161,Show Low,US,34.2542,-110.0298,64.08,84,90,6.91,overcast clouds
162,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,8.05,light intensity drizzle rain
163,Tahoua,NE,14.8888,5.2692,93.18,24,0,4.61,clear sky
164,Reitz,ZA,-27.8014,28.4273,70.92,30,92,14.54,overcast clouds
165,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,107.51,15,0,11.54,clear sky
166,Bilma,NE,18.6853,12.9164,88.93,15,1,11.1,clear sky
167,Saint Pete Beach,US,27.7253,-82.7412,91.45,61,1,1.99,clear sky
168,Angoche,MZ,-16.2325,39.9086,75.65,82,2,7.11,clear sky
169,Lebu,CL,-37.6167,-73.65,52.02,58,79,21.21,broken clouds
170,Bluff,NZ,-46.6,168.3333,38.79,80,21,7.96,few clouds
171,Yulara,AU,-25.2406,130.9889,69.64,19,27,0.0,scattered clouds
172,Yar-Sale,RU,66.8333,70.8333,33.31,83,0,7.52,clear sky
173,Nome,US,64.5011,-165.4064,35.67,80,75,12.66,broken clouds
174,Leningradskiy,RU,69.3833,178.4167,22.24,80,94,8.72,overcast clouds
175,Saint-Georges,GD,12.0564,-61.7485,83.88,79,75,0.0,broken clouds
176,Shawville,CA,45.6001,-76.4827,65.79,50,100,9.35,overcast clouds
177,Xining,CN,36.6167,101.7667,50.72,76,100,0.81,overcast clouds
178,Bandarbeyla,SO,9.4942,50.8122,79.18,80,98,20.76,overcast clouds
179,Saldanha,ZA,-33.0117,17.9442,62.65,87,0,21.85,clear sky
180,Aksarka,RU,66.5606,67.7975,31.05,83,46,7.02,scattered clouds
181,Castro,BR,-24.7911,-50.0119,66.92,78,26,11.21,scattered clouds
182,Batemans Bay,AU,-35.7167,150.1833,47.91,69,78,4.0,broken clouds
183,Clinton,US,42.587,-82.9199,74.21,51,75,5.75,broken clouds
184,Provost,CA,52.3501,-110.2683,70.25,36,33,17.47,scattered clouds
185,Rodeo,US,38.033,-122.2669,74.32,71,1,5.01,smoke
186,Sibolga,ID,1.7427,98.7792,76.03,93,100,5.68,overcast clouds
187,Bengkulu,ID,-3.8004,102.2655,75.38,89,100,3.65,overcast clouds
188,Portales,US,34.1862,-103.3344,85.01,29,100,3.0,overcast clouds
189,Bontang,ID,0.1333,117.5,76.73,89,82,4.97,broken clouds
190,Matam,SN,15.6175,-13.3303,96.8,49,0,6.91,clear sky
191,Caravelas,BR,-17.7125,-39.2481,76.77,59,100,9.33,overcast clouds
192,Rorvik,NO,64.8621,11.2373,55.51,88,0,5.75,clear sky
193,Boyolangu,ID,-8.1181,111.8935,73.9,92,67,4.29,broken clouds
194,Carutapera,BR,-1.195,-46.02,84.99,62,51,11.05,broken clouds
195,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,90,17.27,light snow
196,Airai,TL,-8.9266,125.4092,57.79,74,69,2.44,broken clouds
197,Neumunster,DE,54.0667,9.9833,67.26,87,53,1.01,broken clouds
198,Maldonado,UY,-34.6667,-54.9167,70.23,62,5,5.66,clear sky
199,Bratsk,RU,56.1325,101.6142,25.29,89,48,6.13,scattered clouds
200,Port Hardy,CA,50.6996,-127.4199,57.38,82,75,18.41,light rain
201,Tulun,RU,54.5611,100.5792,30.79,76,16,1.92,few clouds
202,Alofi,NU,-19.0595,-169.9187,60.69,100,62,1.14,broken clouds
203,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,87,90,10.36,overcast clouds
204,Zhezkazgan,KZ,47.8043,67.7144,63.66,17,100,15.19,overcast clouds
205,Plouzane,FR,48.3833,-4.6167,64.72,88,90,17.27,overcast clouds
206,Traverse City,US,44.7631,-85.6206,70.84,49,75,9.22,broken clouds
207,Charlestown,AU,-32.95,151.6667,53.69,86,30,1.99,scattered clouds
208,Kodinsk,RU,58.6881,99.1844,35.22,98,100,4.32,overcast clouds
209,Hommelvik,NO,63.4108,10.7942,57.58,89,0,2.3,clear sky
210,Tasiilaq,GL,65.6145,-37.6368,39.36,69,33,2.68,scattered clouds
211,Cidreira,BR,-30.1811,-50.2056,68.23,79,2,7.11,clear sky
212,Puerto Del Rosario,ES,28.5004,-13.8627,76.68,78,20,12.66,few clouds
213,Ouro Branco,BR,-20.5208,-43.6919,74.43,52,84,6.13,broken clouds
214,Maniitsoq,GL,65.4167,-52.9,33.08,50,0,2.21,clear sky
215,Gunnedah,AU,-30.9833,150.25,51.42,88,0,7.2,clear sky
216,Ambilobe,MG,-13.2,49.05,71.76,71,6,3.62,clear sky
217,Longonjo,AO,-12.9067,15.2533,68.65,50,29,3.33,scattered clouds
218,Thoen,TH,17.6129,99.2161,72.52,99,100,1.28,light rain
219,Bratca,RO,46.9333,22.6167,63.3,76,8,4.56,clear sky
220,Tiznit,MA,29.5833,-9.5,77.58,38,2,4.56,clear sky
221,Beringovskiy,RU,63.05,179.3167,36.7,65,99,4.47,overcast clouds
222,Marienburg,PL,54.0359,19.0266,58.87,71,96,8.16,overcast clouds
223,Mount Isa,AU,-20.7333,139.5,71.37,16,0,8.05,clear sky
224,Cabo San Lucas,MX,22.8909,-109.9124,94.6,66,7,3.0,clear sky
225,Broken Hill,AU,-31.95,141.4333,46.11,42,13,0.0,few clouds
226,Hervey Bay,AU,-25.2986,152.8535,68.04,80,91,20.85,overcast clouds
227,Chuy,UY,-33.6971,-53.4616,67.62,67,0,5.53,clear sky
228,Taoudenni,ML,22.6783,-3.9836,100.22,7,4,8.37,clear sky
229,Iqaluit,CA,63.7506,-68.5145,37.13,74,75,18.01,broken clouds
230,Ostersund,SE,63.1792,14.6357,54.05,71,20,14.97,few clouds
231,Nyurba,RU,63.2842,118.3319,34.36,74,100,13.35,overcast clouds
232,Laurel,US,39.0993,-76.8483,76.5,43,1,1.99,clear sky
233,Luau,AO,-10.7073,22.2247,73.67,33,58,4.56,broken clouds
234,Kieta,PG,-6.2167,155.6333,78.62,82,84,1.79,broken clouds
235,Kamenka,RU,51.3223,42.7678,45.7,90,22,14.45,light rain
236,Plettenberg Bay,ZA,-34.0527,23.3716,60.76,89,100,9.6,overcast clouds
237,Ribeira Grande,PT,38.5167,-28.7,68.4,77,75,23.02,broken clouds
238,Ilulissat,GL,69.2167,-51.1,24.82,46,0,9.22,clear sky
239,Yugorsk,RU,61.3133,63.3319,34.12,79,100,6.98,overcast clouds
240,Chicama,PE,-7.8447,-79.1469,61.34,60,19,10.56,few clouds
241,Clarence Town,AU,-32.5833,151.7833,53.82,90,4,2.01,clear sky
242,Arkhipo-Osipovka,RU,44.37,38.52,62.73,85,100,14.18,overcast clouds
243,Dingle,PH,10.9995,122.6711,75.78,92,41,1.77,scattered clouds
244,Nkayi,CG,-4.1841,13.2884,82.42,59,100,5.53,overcast clouds
245,Nancha,CN,47.1333,129.2667,55.71,95,100,2.91,overcast clouds
246,Meulaboh,ID,4.1363,96.1285,74.07,94,100,6.31,overcast clouds
247,Capaci,IT,38.1711,13.2393,79.12,78,75,13.8,broken clouds
248,Olafsvik,IS,64.8945,-23.7142,40.53,90,100,43.02,overcast clouds
249,Coihaique,CL,-45.5752,-72.0662,48.81,53,75,3.44,broken clouds
250,Gisborne,NZ,-38.6533,178.0042,47.95,85,100,4.36,overcast clouds
251,Toledo,ES,39.8333,-4.0,72.86,52,85,4.88,overcast clouds
252,Magway,MM,20.15,94.9167,77.47,92,99,2.33,moderate rain
253,Komsomolskiy,UZ,40.4272,71.7189,68.72,30,0,9.22,clear sky
254,Gizo,SB,-8.103,156.8419,80.69,78,100,5.17,moderate rain
255,Hollins,US,37.3413,-79.9431,76.53,43,20,11.5,few clouds
256,Lagoa,PT,39.05,-27.9833,67.1,72,100,24.36,overcast clouds
257,Kristianstad,SE,56.0313,14.1524,57.58,97,75,5.75,broken clouds
258,Mar Del Plata,AR,-38.0023,-57.5575,59.02,61,0,8.99,clear sky
259,Prince Rupert,CA,54.3161,-130.3201,51.89,95,90,8.05,light rain
260,Souris,CA,49.6172,-100.2612,72.73,35,7,3.78,clear sky
261,Kidal,ML,18.4411,1.4078,93.49,10,0,9.55,clear sky
262,Intipuca,SV,13.1969,-88.0544,91.29,46,22,4.12,few clouds
263,Tuatapere,NZ,-46.1333,167.6833,34.41,85,7,4.18,clear sky
264,Coquimbo,CL,-29.9533,-71.3436,64.13,63,0,17.27,clear sky
265,Vredendal,ZA,-31.6683,18.5012,68.85,65,1,8.9,clear sky
266,South Lake Tahoe,US,38.9332,-119.9844,79.72,24,1,9.22,clear sky
267,Orange,US,33.7,-117.7675,74.59,80,90,3.0,overcast clouds
268,Kysyl-Syr,RU,63.8986,122.7617,29.23,90,100,5.95,overcast clouds
